meta,text,stats,simhash
"{'pmid': 11409584, 'language': 'eng'}","Efficacy and safety of sparfloxacin in combination with kanamycin and ethionamide in multidrug-resistant pulmonary tuberculosis patients: preliminary results.
Department of tuberculosis and chest diseases of a tertiary referral tuberculosis institute in New Delhi, India. To study the efficacy and safety of sparfloxacin, in combination with kanamycin (for the initial 3-4 months) and ethionamide, in multidrug-resistant (MDR) pulmonary tuberculosis patients. Prospective, uncontrolled study of nine patients with pulmonary tuberculosis who had received adequate anti-tuberculosis treatment with first-line drugs, including supervised category II treatment regimen as per World Health Organization guidelines for 5 months, and were still sputum smear acid-fast bacilli positive. It was planned to give them kanamycin (initial 3-4 months), ethionamide and sparfloxacin for 2 years. All nine patients achieved sputum conversion within 6 months. Seven patients converted within 3.5 months, two of these within 1 month. All patients reported improvement in clinical symptoms, and chest X-ray improved in seven patients. Four patients developed mild to moderate phototoxicity. Eight patients have completed treatment for an average of 19 months (range 15-24 months), and are still under follow-up. One patient defaulted after 7 months of treatment. In MDR-TB patients, sparfloxacin, along with other anti-tuberculosis drugs, appears to be effective and safe. Mild to moderate phototoxicity is common. However, the long-term results, including relapses, are still awaited.","{'alnum_ratio': 0.8295019157, 'avg_line_length': 783.0, 'char_rep_ratio': 0.0809248555, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.937419951, 'max_line_length': 1407, 'num_words': 297, 'perplexity': 349.4, 'special_char_ratio': 0.1813537676, 'text_len': 1566, 'word_rep_ratio': 0.0416666667}",9.333600701229064e+18
"{'pmid': 11409585, 'language': 'eng'}","A population-based case-control study of the safety of oral anti-tuberculosis drug treatment during pregnancy.
To study the human teratogenic potential of isoniazid and other anti-tuberculosis drug treatment during pregnancy. Cases from a large population-based dataset at the Hungarian Case-Control Surveillance of Congenital Abnormalities, and controls from the National Birth Registry, between 1980 and 1996. Information on all oral anti-tuberculosis drug treatments during pregnancy was medically recorded. Women who had newborns or fetuses with congenital abnormalities (case group), and women who had babies with no congenital abnormality (control group). Congenital abnormalities in newborn infants and fetuses diagnosed prenatally during the second and third trimesters, and postnatally from birth to the age of one year. Of 38,151 controls, 29 (0.08%) were exposed to anti-tuberculosis drug treatment during pregnancy; the corresponding figures for cases were 22,865 and 11 (0.05%). The prevalence odds ratio was 0.6 (95%CI 0.3-1.3). Analysis of isoniazid and other oral antituberculosis drug use during the second and third months of gestation, i.e., in the critical period for most major congenital abnormalities, in case-control pairs did not indicate a teratogenic effect of these drugs in any group with congenital abnormality. Maternal exposure to oral anti-tuberculosis drugs during pregnancy did not show a detectable teratogenic risk to the fetus; however, the number of pregnant women who were treated with these drugs during the critical period of most major congenital abnormalities was limited (six cases vs. 21 controls).","{'alnum_ratio': 0.8229927007, 'avg_line_length': 822.0, 'char_rep_ratio': 0.119266055, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9611214399, 'max_line_length': 1533, 'num_words': 307, 'perplexity': 408.0, 'special_char_ratio': 0.2001216545, 'text_len': 1644, 'word_rep_ratio': 0.0}",5.794487109350939e+18
"{'pmid': 11409586, 'language': 'eng'}","Specificity of insertion sequence-based PCR assays for mycobacterium tuberculosis complex.
To determine the specificity of different insertion sequence-targeted polymerase chain reaction (PCR) tests for Mycobacterium tuberculosis complex. One M. bovis BCG strain, two M. tuberculosis strains and ten species of mycobacteria other than tuberculosis (MOTT) were tested by three PCR assays based on the repetitive elements IS6110, IS1081 and IS990 under variable amplification conditions (different temperatures of primer annealing and numbers of reaction cycles). DNA amplifications based on the three insertion sequences yielded fragments of expected sizes only in DNA from M. tuberculosis complex strains when the tests were conducted at high stringency (65 degrees C). At the annealing temperature of 60 degrees C the PCR assay with IS6110-specific primers yielded a 245 bp fragment also in nine MOTT strains tested. This could result from previously reported homology between non-tuberculous mycobacteria and a central region of IS6110. Amplification assays based on IS1081 and IS990 gave false-positive results in some MOTT isolates only under very low stringency (55 degrees C), which could be due to non-specific priming of the target DNA at that temperature. Repetitive elements IS1081 and IS990 may represent a more reliable alternative to the more widely used IS6110 PCR target for tuberculosis diagnosis.","{'alnum_ratio': 0.8343949045, 'avg_line_length': 706.5, 'char_rep_ratio': 0.0861823362, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.8998681307, 'max_line_length': 1322, 'num_words': 256, 'perplexity': 1250.3, 'special_char_ratio': 0.1981599434, 'text_len': 1413, 'word_rep_ratio': 0.0}",6.245199636020773e+18
"{'pmid': 11409587, 'language': 'eng'}","A case series: initial outcome of persons with multidrug-resistant tuberculosis after treatment with the WHO standard retreatment regimen in Ho Chi Minh City, Vietnam.
Few data address the outcomes of patients who have multidrug-resistant tuberculosis (MDR-TB), defined as resistance to at least isoniazid and rifampin, and who receive a standard World Health Organization (WHO) recommended retreatment regimen after relapse or failure with initial treatment. In this case series, we examined treatment outcomes of a convenience sample of 42 relapse or failure patients who had documented MDR-TB and who had received a standard WHO retreatment regimen (2SHRZE/1HRZE/5H3R3E3). One patient died of tuberculosis in the last month of treatment; the remaining 41 patients completed retreatment. Of the 42, 14 (33%) were sputum smear-negative on completion of therapy. The proportion of patients cured of MDR-TB with the WHO retreatment regimen was similar to historic outcomes when no chemotherapy for TB was given.","{'alnum_ratio': 0.8237623762, 'avg_line_length': 505.0, 'char_rep_ratio': 0.0989010989, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.959931314, 'max_line_length': 842, 'num_words': 203, 'perplexity': 529.2, 'special_char_ratio': 0.1920792079, 'text_len': 1010, 'word_rep_ratio': 0.0}",1.1967807669810557e+19
"{'pmid': 11409588, 'language': 'eng'}","Quantitative bacillary response to treatment in Mycobacterium tuberculosis infected and M. africanum infected adults with pulmonary tuberculosis.
Data regarding possible differences in microbiological response to therapy of disease caused by Mycobacterium tuberculosis and M. africanum are limited. Presenting clinical characteristics and sputum bacillary load during standard short-course chemotherapy in patients with newly-diagnosed pulmonary tuberculosis due to M. tuberculosis (n = 7) and M. africanum (n = 6) were compared. Changes in sputum bacillary load were measured using quantitative acid-fast bacilli smears, colony forming unit assay, and time until positive culture in the BACTEC radiometric system. Presentation and response to short course chemotherapy were comparable between patients infected with M. tuberculosis and those infected with M. africanum.","{'alnum_ratio': 0.8425287356, 'avg_line_length': 435.0, 'char_rep_ratio': 0.1068524971, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9212417603, 'max_line_length': 724, 'num_words': 162, 'perplexity': 340.6, 'special_char_ratio': 0.1597701149, 'text_len': 870, 'word_rep_ratio': 0.0}",2.567848406340013e+18
"{'pmid': 11409589, 'language': 'eng'}","Tuberculous infection in student nurses in Madrid, Spain.
To determine the incidence of tuberculous infection in student nurses we performed a 3-year study in our hospital. Before training was initiated, 18.75% of males and 5.7% of females were Mantoux-positive (P = 0.09). During the following two years, 9.2% of the previously Mantoux-negative students became positive. No differences were found between males and females. We conclude that student nurses must be considered at risk for tuberculous infection in our hospital, and that stricter isolation procedures for tuberculous patients must be implemented.","{'alnum_ratio': 0.8166939444, 'avg_line_length': 305.5, 'char_rep_ratio': 0.1179401993, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9799722433, 'max_line_length': 553, 'num_words': 107, 'perplexity': 753.1, 'special_char_ratio': 0.2029459902, 'text_len': 611, 'word_rep_ratio': 0.0}",5.328929627108565e+18
"{'pmid': 11409592, 'language': 'eng'}","High-resolution computed tomography classification of lung fibrosis for patients with asbestos-related disease.
This study tested a new high-resolution computed tomography (HRCT) scoring method for asbestos-induced parenchymal changes in the lung. HRCT scans of 602 asbestos-exposed workers and 49 referents were reviewed by 3 radiologists. Structured forms were filled out for a semiquantitative HRCT fibrosis score based on several specified parenchymal abnormalities scored separately. Observer agreement was studied with the use of the quadratic-weighted kappa (kappaqw). The HRCT fibrosis score (from 0 to V with definitions and index images given retrospectively) was compared with the radiographic classification of the International Labour Office (ILO) for the same patients. Receiver-operating characteristic (ROC) curves were computed to compare the tests for diagnosing asbestosis. Good inter- and intraobserver agreements were achieved (kappaqw = 0.64 and 0.72, respectively) as regards the HRCT fibrosis score. All the specified computed tomography findings explained 86% of the variance in the HRCT fibrosis score. Age and occupational group were significant predictors of fibrosis. The area under the ROC curve was significantly greater for the HRCT fibrosis score (0.89) than for the ILO radiographic classification (0.76). The sensitivity (70%) and specificity (91%) of the HRCT fibrosis score (classes I/II-V representing asbestosis) were better than those of the classification published by the International Labour Office (51% and 89%, respectively, score > or = 1/0 representing asbestosis). The examined HRCT scoring method proved to be a simple, reliable, and reproducible method for classifying lung fibrosis and diagnosing asbestosis also in large populations with occupational disease, and it would be possible to use it as a part of an international classification.","{'alnum_ratio': 0.8245243129, 'avg_line_length': 946.0, 'char_rep_ratio': 0.09771641, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9490843415, 'max_line_length': 1780, 'num_words': 352, 'perplexity': 649.0, 'special_char_ratio': 0.1918604651, 'text_len': 1892, 'word_rep_ratio': 0.0}",1.0586982092119407e+19
"{'pmid': 11409593, 'language': 'eng'}","Cohort cancer incidence among pulp and paper mill workers in British Columbia.
A study was conducted to investigate cancer risks in a cohort of pulp and paper workers. All male workers with > or =1 years of employment in 14 pulp and paper mills in 1950-1992 were studied. Standardized incidence ratios (SIR) were used to compare the cancer incidence of the cohort with that of the Canadian male population. Record linkage with the National Cancer Registry was performed using the generalized iterative record linkage method. Altogether 1756 cancer cases were observed in the entire cohort. For > or =15 years of work, the entire cohort had significantly increased SIR values for pleural and prostate cancer and skin melanoma; there was also a significantly increased risk for skin melanoma among workers in the kraft process only, rectal cancer among workers in the sulfite process only, and stomach and prostate cancer and all leukemias combined among workers in both the kraft and sulfite processes. A separate analysis comparing workers in pulping and papermaking with those in the pulping process only did not reveal any difference in cancer risk and hence did not modify the results. The SIR values for skin melanoma were not significantly increased in a comparison using the British Columbia male population. Nine of 10 pleural cancers were mesotheliomas, which likely reflect past asbestos exposure. The results suggest that long-term work in the pulp and paper industry is associated with excess risks of prostate and stomach cancers and all leukemias for work in both kraft and sulfite processes and of rectal cancer for work in the sulfite process only.","{'alnum_ratio': 0.8244137102, 'avg_line_length': 831.5, 'char_rep_ratio': 0.0834340992, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9697978497, 'max_line_length': 1584, 'num_words': 306, 'perplexity': 520.7, 'special_char_ratio': 0.1870114251, 'text_len': 1663, 'word_rep_ratio': 0.0}",9.97904483810622e+18
"{'pmid': 11409594, 'language': 'eng'}","Chromosome aberrations in lymphocytes of persons exposed to an earthquake in Armenia.
This study attempted to determine the level of chromosome aberrations in lymphocytes of victims of the 1988 earthquake in Armenia. Chromosome aberrations were measured in blood samples taken from 41 victims of the earthquake that hit Armenia in 1988 and in samples of 47 reference blood donors. The victims suffered from severe psychoemotional stress but were otherwise healthy. All the samples were taken 2 to 3 weeks after the earthquake. All the subjects were lifetime nonsmokers. The cells were scored blind as to the exposure status. The subjects exposed to the earthquake had a higher proportion of cells with chromosome aberrations [3.1 (SD 2.1)%] than the referents [1.7 (SD 1.3)%, P-value for the difference 0.0009]. The difference persisted when the values were adjusted for age and gender [relative risk (RR) 1.9, 95% confidence interval (95% CI) 1.4-2.5]. The difference was present for double breaks (RR 4.1, 95% CI 2.6-6.4), but not for single breaks (RR 1.1, 95% CI 0.8-1.7). The exposed subjects also had a lower percentage of cells with 46 chromosomes (P=0.03) than the referents. This study suggests an increase in chromosome aberrations in the lymphocytes of victims of a severe earthquake as compared with the levels of referents. If not due to bias or confounding, the difference may reflect the effect of either environmental exposures related to the earthquake or severe psychogenic stress. The levels of chromosome aberrations found among the earthquake victims in this study are comparable with those found in prospective studies of long-term cancer risk.","{'alnum_ratio': 0.8031212485, 'avg_line_length': 833.0, 'char_rep_ratio': 0.1098370549, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9577499628, 'max_line_length': 1580, 'num_words': 313, 'perplexity': 998.2, 'special_char_ratio': 0.2316926771, 'text_len': 1666, 'word_rep_ratio': 0.0}",1.7504973337225597e+19
"{'pmid': 11409595, 'language': 'eng'}","Group-based measurement strategies in exposure assessment explored by bootstrapping.
The precision of mean exposure to pushing was examined in 2 occupational groups using various combinations of the number of workers and measurements per worker. The frequency and duration of pushing of the 2 occupational groups was assessed using onsite observation. All data were divided into successive periods of 30 minutes of observation. The precision of the group mean exposure to pushing was expressed by 90% confidence intervals obtained by bootstrapping. The effect on the confidence interval of varying numbers of workers and numbers of periods per worker was examined. For both occupational groups there was little precision to be gained when >10 workers were observed. Within the maximum number of workers used in the bootstrap simulations, it appeared that, beyond 10 workers, the confidence intervals decreased by <5% for every worker that was added, when each worker was observed at least 8 periods of 30 minutes. If workers were observed exactly 4 periods of 30 minutes per worker, an additional 4 workers were required to compensate for the loss of precision. An unbalanced strategy with approximately 8 periods of 30 minutes per worker hardly decreased the precision of the group mean, however. The precision of the group-based mean exposure to pushing is influenced by the number of workers observed and by the number of repeated measurements per worker. In the planning of measurement strategies, it is advisable to account for possible sources of variance in advance and to assess the exposure variability.","{'alnum_ratio': 0.8287841191, 'avg_line_length': 806.0, 'char_rep_ratio': 0.0917030568, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9733040333, 'max_line_length': 1527, 'num_words': 268, 'perplexity': 659.0, 'special_char_ratio': 0.1842431762, 'text_len': 1612, 'word_rep_ratio': 0.0}",1.4841000055286444e+19
